銀行名稱,銀行代碼,卡片名稱,卡片類型,回饋亮點1,回饋亮點2,回饋亮點3,申辦連結,資料來源,更新時間
台北富邦銀行,fubon,台北市政府認同卡,一般,,,,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,2026-05-30
台北富邦銀行,fubon,台灣大哥大Open Possible聯名卡,聯名卡,,,,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,2026-05-30
台北富邦銀行,fubon,台灣大哥大悠遊聯名卡,聯名卡,,,,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,2026-05-30
台北富邦銀行,fubon,台茂聯名卡,聯名卡,,,,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,2026-05-30
台北富邦銀行,fubon,富邦Amoney卡,一般,,,,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,2026-05-30
台北富邦銀行,fubon,富邦Costco採購卡,一般,,,,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,2026-05-30
台北富邦銀行,fubon,富邦Costco聯名卡,聯名卡,,,,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,2026-05-30
台北富邦銀行,fubon,富邦IMPERIAL尊御世界卡,高階卡,,,,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,2026-05-30
台北富邦銀行,fubon,富邦J卡,一般,,,,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,2026-05-30
台北富邦銀行,fubon,富邦a miles航空卡,一般,,,,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,2026-05-30
台北富邦銀行,fubon,富邦世界卡,高階卡,,,,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,2026-05-30
台北富邦銀行,fubon,富邦商務卡,一般,,,,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,2026-05-30
台北富邦銀行,fubon,富邦富利生活系列卡,一般,,,,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,2026-05-30
台北富邦銀行,fubon,富邦尊御世界卡,高階卡,,,,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,2026-05-30
台北富邦銀行,fubon,富邦悍將悠遊聯名卡,聯名卡,,,,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,2026-05-30
台北富邦銀行,fubon,富邦數位生活卡,一般,,,,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,2026-05-30
台北富邦銀行,fubon,富邦無限卡,高階卡,,,,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,2026-05-30
台北富邦銀行,fubon,富邦財神卡,一般,,,,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,2026-05-30
